Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
459.5,-0.019089
460.5,-0.019089
461.5,-0.019089
462.5,-0.019089
463.5,-0.019089
464.5,93.1966
465.5,321.469
466.5,933.097
467.5,1140.56
468.5,1239.53
469.5,1229.6
470.5,1115.77
471.5,911.607
472.5,606.673
473.5,194.321
474.5,-0.019089
475.5,-0.019089
476.5,-0.019089
477.5,-0.019089
478.5,-0.019089
479.5,-0.019089
480.5,-0.019089
481.5,-0.019089
482.5,-0.019089
483.5,-0.019089
484.5,-0.019089
485.5,-0.019089
486.5,-0.019089
487.5,-0.019089
488.5,89.6729
489.5,605.117
490.5,895.525
491.5,1090.97
492.5,1190.05
493.5,1189.03
494.5,776.543
495.5,893.252
496.5,594.775
497.5,190.29
498.5,-0.019089
499.5,-0.019089
500.5,-0.019089
501.5,-0.019089
502.5,-0.019089
503.5,-0.019089
504.5,-0.019089
505.5,-0.019089
506.5,-0.019089
507.5,-0.019089
508.5,-0.019089
509.5,-0.019089
510.5,-0.019089
511.5,-0.019089
512.5,81.7494
513.5,223.953
514.5,699.9
515.5,499.423
516.5,296.994
517.5,661.61
518.5,1042.93
519.5,428.343
520.5,130.891
521.5,120.14
522.5,-0.019089
523.5,-0.019089
524.5,-0.019089
525.5,-0.019089
526.5,-0.019089
527.5,-0.019089
528.5,-0.019089
529.5,-0.019089
530.5,-0.019089
531.5,-0.019089
532.5,-0.019089
533.5,-0.019089
534.5,-0.019089
535.5,-0.019089
536.5,115.945
537.5,621.456
538.5,930.106
539.5,1131.6
540.5,1229.7
541.5,1220.63
542.5,1114.78
543.5,908.185
544.5,612.67
545.5,207.583
546.5,-0.019089
547.5,-0.019089
548.5,-0.019089
549.5,-0.019089
550.5,-0.019089
551.5,-0.019089
552.5,-0.019089
553.5,-0.019089
554.5,-0.019089
555.5,-0.019089
556.5,-0.019089
557.5,-0.019089
558.5,-0.019089
559.5,-0.019089
560.5,158.77
561.5,404.424
562.5,655.423
563.5,1104.28
564.5,1203.38
565.5,901.968
566.5,584.737
567.5,392.972
568.5,62.7738
569.5,35.5549
570.5,-0.019089
571.5,-0.019089
572.5,-0.019089
573.5,-0.019089
574.5,-0.019089
575.5,-0.019089
576.5,-0.019089
577.5,-0.019089
578.5,-0.019089
579.5,-0.019089
580.5,-0.019089
581.5,-0.019089
582.5,-0.019089
583.5,-0.019089
584.5,230.52
