Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
774.5,384.702
775.5,367.226
776.5,355.082
777.5,186.47
778.5,162.957
779.5,77.3748
780.5,7.79553
781.5,0
782.5,0
783.5,0
784.5,0
785.5,0
786.5,0
787.5,0
788.5,0
789.5,0
790.5,0
791.5,51.0745
792.5,59.995
793.5,130.464
794.5,238.622
795.5,409.074
796.5,578.604
797.5,736.241
798.5,723.892
799.5,619.255
800.5,694.598
801.5,346.854
802.5,307.585
803.5,444.893
804.5,864.396
805.5,1109.27
806.5,1219.06
807.5,1151.38
808.5,1146.2
809.5,662.04
810.5,362.393
811.5,1183.06
812.5,1140.6
813.5,1035.06
814.5,1069.42
815.5,833.468
816.5,716.274
817.5,720.105
818.5,261.817
819.5,495.944
820.5,447.908
821.5,678.68
822.5,822.055
823.5,831.501
824.5,725.012
825.5,791.453
826.5,760.479
827.5,568.517
828.5,411.866
829.5,266.229
830.5,191.492
831.5,70.199
832.5,0
833.5,0
834.5,0
835.5,0
836.5,0
837.5,0
838.5,0
839.5,48.9558
840.5,163.551
841.5,265.047
842.5,292.957
843.5,349.755
844.5,359.056
845.5,550.697
846.5,393.047
847.5,185.584
848.5,0
849.5,9.69445
850.5,0
851.5,0
852.5,0
853.5,0
854.5,0
855.5,0
856.5,0
857.5,0
858.5,8.42259
859.5,0
860.5,121.347
861.5,268.533
862.5,313.94
863.5,449.402
864.5,376.665
865.5,376.418
866.5,597.363
867.5,679.554
868.5,486.426
869.5,407.296
870.5,232.17
871.5,268.876
872.5,345.528
873.5,256.126
874.5,178.537
875.5,240.378
876.5,249.251
877.5,365.535
878.5,674.031
879.5,672.437
880.5,643.079
881.5,342.002
882.5,557.561
883.5,194.456
884.5,124.778
885.5,237.62
886.5,130.929
887.5,106.447
888.5,23.9508
889.5,143.604
890.5,776.102
891.5,948.985
892.5,1184.29
893.5,1211.87
894.5,1155.63
895.5,1108.48
896.5,1176.71
897.5,1225.03
898.5,1237.39
899.5,1170.69
900.5,1185.39
901.5,1118.74
902.5,959.654
903.5,731.929
904.5,616.676
905.5,497.951
906.5,252.985
907.5,330.814
908.5,120.081
909.5,53.6023
910.5,57.0975
911.5,43.1728
912.5,33.9578
913.5,152.048
914.5,140.987
915.5,90.8056
916.5,63.1357
917.5,134.584
918.5,189.511
919.5,306.93
920.5,351.019
921.5,190.951
922.5,257.92
923.5,395.264
924.5,469.749
925.5,578.915
926.5,522.229
927.5,693.722
928.5,827.514
929.5,1024.83
930.5,528.992
931.5,622.877
932.5,766.644
933.5,884.52
934.5,769.448
935.5,736.172
936.5,893.259
937.5,1224.49
938.5,1192.2
939.5,985.561
940.5,899.714
941.5,993.611
942.5,1046.64
943.5,1187.04
944.5,1168.82
945.5,1122.72
946.5,889.909
947.5,532.136
948.5,823.242
949.5,760.041
950.5,1132.17
951.5,1219.67
952.5,1251.67
953.5,1251.67
954.5,975.932
955.5,1223.3
956.5,979.202
957.5,930.253
958.5,1080.7
959.5,812.274
960.5,469.203
961.5,794.094
962.5,792.404
963.5,916.883
964.5,1187.46
965.5,283.921
966.5,1121.43
967.5,1095.77
968.5,1023.99
969.5,1017.29
970.5,1209.19
971.5,1167.33
972.5,1019.2
973.5,602.323
974.5,252.688
975.5,178.283
976.5,84.2477
977.5,0
978.5,0
979.5,0
980.5,0
981.5,50.1972
982.5,82.873
983.5,71.4457
984.5,122.617
985.5,145.526
986.5,314.39
987.5,321.082
988.5,283.911
989.5,308.007
990.5,285.622
991.5,243.621
992.5,209.086
993.5,125.159
994.5,66.9356
995.5,106.344
996.5,101.971
997.5,84.6363
998.5,98.5816
999.5,185.056
1000.5,171.586
1001.5,233.328
1002.5,159.16
1003.5,319.373
1004.5,246.062
1005.5,265.338
1006.5,285.501
1007.5,336.155
1008.5,341.248
1009.5,391.068
1010.5,182.295
1011.5,29.8026
1012.5,17.1742
1013.5,35.2651
1014.5,62.8594
1015.5,55.4374
1016.5,105.19
1017.5,126.359
1018.5,281.68
1019.5,347.29
1020.5,313.616
1021.5,280.515
1022.5,236.997
1023.5,299.427
1024.5,200.336
1025.5,35.9316
1026.5,0
1027.5,0
1028.5,0
1029.5,71.8447
1030.5,128.581
1031.5,90.8095
1032.5,123.098
1033.5,228.791
1034.5,192.791
1035.5,290.061
1036.5,249.513
1037.5,186.073
1038.5,285.445
1039.5,265.879
1040.5,368.297
1041.5,73.9575
1042.5,0
1043.5,0
1044.5,0
1045.5,0
1046.5,0
1047.5,0
1048.5,0
1049.5,0
1050.5,0
1051.5,65.5462
1052.5,0
1053.5,2.95466
1054.5,31.321
1055.5,0
1056.5,0
1057.5,0
1058.5,0
1059.5,0
1060.5,0
1061.5,0
1062.5,0
1063.5,150.791
1064.5,118.016
1065.5,44.7682
1066.5,21.6379
1067.5,98.3123
1068.5,45.9341
1069.5,25.4745
1070.5,36.0138
1071.5,67.4778
1072.5,199.155
1073.5,350.651
1074.5,245.379
1075.5,219.663
1076.5,394.585
1077.5,588.468
1078.5,585.12
1079.5,592.396
1080.5,366.029
1081.5,273.659
1082.5,312.485
1083.5,376.193
1084.5,297.143
1085.5,232.903
1086.5,139.594
1087.5,78.9552
1088.5,58.4619
1089.5,0
1090.5,0
1091.5,0
1092.5,0
1093.5,0
1094.5,0
1095.5,21.1816
1096.5,98.9628
1097.5,21.9506
1098.5,0
1099.5,0
1100.5,0
1101.5,0
1102.5,0
1103.5,0
1104.5,31.1666
1105.5,35.0381
1106.5,0
1107.5,0
1108.5,0
1109.5,0
1110.5,175.783
1111.5,184.943
1112.5,223.07
1113.5,106.985
1114.5,109.444
1115.5,179.408
1116.5,196.216
1117.5,168.308
1118.5,79.9312
1119.5,0
1120.5,0
1121.5,0
1122.5,50.3584
1123.5,117.573
1124.5,93.1775
1125.5,150.916
1126.5,189.666
1127.5,452.162
1128.5,464.326
1129.5,424.681
1130.5,432.725
1131.5,368.271
1132.5,206.268
1133.5,97.867
1134.5,45.486
1135.5,0
1136.5,0
